park_id,theme,rollercoaster_type,custom_design,excitement,excitement_rating,intensity,intensity_rating,nausea,nausea_rating,max_speed,avg_speed,ride_time,ride_length,max_pos_gs,max_neg_gs,max_lateral_gs,total_air_time,drops,highest_drop_height,inversions
7,Gentle Glen,Mini Roller Coaster,1,5.75,High,5.05,Medium,4.03,Medium,36,11,84,1873,2.51,-0.19,1.13,0.21,3,39,0
7,Gentle Glen,Virginia Reel,1,5.07,High,5.35,High,5.69,High,32,10,52,1030,2.34,-0.01,2.24,0.03,6,19,0
8,Jolly Jungle,Heartline Twister Coaster,0,3.12,Medium,6.6,High,4.61,Medium,39,10,33,620,2.87,-0.99,1.2,1.86,3,42,0
8,Jolly Jungle,Lay-down Roller Coaster,1,6.54,High,6.17,High,5.16,High,35,17,48,1568,2.96,-0.3,2.4,0.87,5,22,-1
8,Jolly Jungle,Virginia Reel,1,6.61,High,5.67,High,6.09,High,29,9,60,1105,2.22,-0.16,2.6,0.48,7,13,0
8,Jolly Jungle,Wooden Roller Coaster ,1,6.81,High,7.17,High,4.27,Medium,48,14,65,1801,3.01,-1.07,1.64,0.78,3,42,-1
9,Factory Capers,Looping Roller Coaster,1,5.75,High,5.96,High,3.02,Medium,41,12,84,2011,3.02,-1.37,2.8,1.71,5,22,-1
9,Factory Capers,Spiral Coaster,1,3.09,Medium,1.93,Low,1.33,Low,38,15,67,1991,2.83,-1.1,1.46,1.2,3,22,0
9,Factory Capers,Wooden Roller Coaster ,1,6.32,High,7.41,High,4.17,Medium,36,13,56,1440,2.73,-1.1,2.48,2.01,4,42,-1
10,Karts And Coasters,Wooden Roller Coaster ,0,8.46,High,8.63,Very High,4.92,Medium,53,23,57,2546,3.35,-1.43,1.84,4.5,10,82,-1
10,Karts And Coasters,Wooden Roller Coaster ,0,8.88,Very High,8.93,Very High,5.17,High,59,23,92,4091,3.64,-1.54,2.14,5.25,9,82,-1
10,Karts And Coasters,Mine Train Coaster,1,6.78,High,4.48,High,4.84,Medium,35,11,76,1709,2.41,-0.37,2.2,1.44,5,32,0
10,Karts And Coasters,Vertical Drop Coaster,1,6.39,High,5.95,High,2.73,Medium,50,14,48,1332,3.36,-1.4,2.18,1.56,2,91,-1
11,Three Monkeys Park,Looping Roller Coaster,0,8.62,Very High,7.05,High,4.0,Medium,53,17,132,4439,3.55,-1.54,2.46,8.28,13,82,-1
11,Three Monkeys Park,Looping Roller Coaster,0,8.27,Very High,6.99,High,3.89,Medium,53,17,132,4331,3.55,-1.52,2.48,8.28,12,82,-1
11,Three Monkeys Park,Looping Roller Coaster,0,8.49,Very High,6.73,High,3.87,Medium,53,16,137,4219,3.57,-1.68,1.94,5.88,11,82,-1
11,Three Monkeys Park,Wooden Roller Coaster ,1,7.18,High,7.17,High,5.11,Medium,39,14,90,2451,2.7,-0.27,1.38,0.48,4,39,-1
12,Crumbly Woods,Corkscrew Roller Coaster,0,5.16,High,5.29,High,2.14,Low,44,20,23,931,3.31,-1.25,0.0,1.59,5,42,-1
12,Crumbly Woods,Mini Roller Coaster,0,5.23,High,5.38,High,3.75,Medium,38,14,55,1548,2.52,-0.41,1.54,0.45,5,39,0
12,Crumbly Woods,Wooden Wild Mouse,0,7.02,High,7.63,High,4.36,Medium,43,11,53,1161,3.07,-0.93,1.84,1.86,6,59,0
12,Crumbly Woods,Corkscrew Roller Coaster,1,6.21,High,5.64,High,3.43,Medium,35,11,102,2290,2.75,1.09,1.55,2.82,7,42,-1
12,Crumbly Woods,Dinghy Slide,1,4.92,Medium,5.64,High,3.52,Medium,42,11,55,1155,2.96,-0.78,1.83,0.81,4,52,0
12,Crumbly Woods,Stand Up Twister Roller Coaster,1,6.91,High,5.96,High,3.52,Medium,46,15,80,2369,3.23,-1.48,1.94,1.44,5,42,-1
12,Crumbly Woods,Wooden Roller Coaster ,1,6.72,High,7.57,High,4.67,Medium,39,13,81,2017,2.88,-1.07,1.66,1.95,5,42,-1
13,Millennium Mines,Wooden Roller Coaster ,1,6.29,High,7.63,High,4.46,Medium,46,12,78,1827,3.24,-1.31,1.21,1.14,4,62,-1
14,Canry Mines,Vertical Drop Coaster,0,7.14,High,5.42,High,2.65,Medium,57,11,70,1575,3.82,-1.14,0.91,2.01,2,98,-1
14,Canry Mines,Vertical Drop Coaster,0,7.48,High,5.62,High,2.78,Medium,57,11,58,1243,3.82,-1.2,1.35,2.58,2,98,-1
14,Canry Mines,Wooden Roller Coaster ,1,6.97,High,7.83,Very High,4.45,Medium,48,15,64,1853,3.33,-1.66,1.83,1.47,6,62,-1
15,Iceberg Islands,Bobsleigh Coaster ,0,7.36,High,6.59,High,5.47,High,36,16,81,2520,2.46,-0.52,1.57,0.87,5,19,0
15,Iceberg Islands,Looping Roller Coaster,1,5.91,High,6.54,High,3.56,Medium,44,14,91,2454,3.93,-1.24,2.73,2.76,7,49,-1
16,Fun Fortress,Looping Roller Coaster,0,6.05,High,5.01,Medium,2.4,Low,51,21,55,1978,3.62,0.52,1.18,0.0,5,49,-1
16,Fun Fortress,Stand Up Roller Coaster,1,4.9,Medium,8.21,Very High,6.05,High,39,15,54,1611,3.78,-0.14,2.26,0.27,4,42,-1
16,Fun Fortress,Wooden Roller Coaster ,1,6.8,High,7.72,Very High,5.1,Medium,39,13,82,2070,2.91,-1.21,1.49,1.98,5,42,-1
17,Butterfly Dam,Corkscrew Roller Coaster,1,6.23,High,6.61,High,3.12,Medium,47,11,82,1817,4.6,-0.16,2.06,0.72,5,62,-1
17,Butterfly Dam,Dinghy Slide,1,4.52,Medium,5.0,Medium,3.29,Medium,41,9,64,1155,2.8,-0.66,0.49,0.87,3,59,0
17,Butterfly Dam,Vertical Drop Coaster,1,7.07,High,7.35,High,3.42,Medium,53,16,51,1627,4.64,-1.63,2.36,1.62,6,72,-1
18,Coaster Canyon,Compact Inverted Coaster,1,6.01,High,8.24,Very High,6.73,High,41,12,63,1561,4.03,-0.67,2.41,2.41,9,49,-1
18,Coaster Canyon,Hypercoaster,1,5.66,High,4.55,Medium,2.13,Low,39,10,51,990,2.72,-1.1,1.71,2.22,4,49,-1
18,Coaster Canyon,Looping Roller Coaster,1,6.51,High,5.35,High,2.72,Medium,41,10,83,1709,2.98,-1.25,1.78,1.2,6,49,-1
18,Coaster Canyon,Twister Coaster,1,6.34,High,5.73,High,2.93,Medium,48,14,52,1394,3.99,-0.95,2.41,1.77,4,52,-1
19,Razor Rocks,Air Powered Vertical Coaster,0,8.42,Very High,8.96,Very High,6.96,High,85,44,13,1168,4.0,-2.14,2.23,4.02,1,196,0
19,Razor Rocks,Wooden Wild Mouse,0,7.32,High,8.11,Very High,4.52,Medium,35,14,42,1184,2.64,-0.93,2.28,1.71,8,39,0
19,Razor Rocks,Compact Inverted Coaster,1,6.3,High,8.03,Very High,6.96,High,51,12,94,2500,3.85,-1.62,1.4,1.74,6,62,3
19,Razor Rocks,Floorless Roller Coaster,1,7.38,High,6.56,High,4.21,Medium,41,18,75,2605,4.19,-0.61,2.52,1.02,5,49,3
19,Razor Rocks,Giga Coaster,1,8.08,Very High,5.04,Medium,4.02,Medium,46,22,81,3451,2.77,-1.01,1.87,3.48,7,52,0
19,Razor Rocks,Hypercoaster,1,6.77,High,5.49,High,3.2,Medium,57,15,88,2608,2.9,-1.55,1.55,2.07,5,91,0
19,Razor Rocks,Mine Train Coaster,1,6.74,High,7.09,High,5.85,High,42,14,108,3008,2.98,-1.17,1.73,3.54,6,42,0
19,Razor Rocks,Spiral Coaster,1,6.44,High,4.38,Medium,2.72,Medium,40,13,70,1775,2.97,-1.28,1.47,4.11,6,42,0
19,Razor Rocks,Vertical Drop Coaster,1,7.07,High,6.96,High,3.11,Medium,48,16,59,1804,4.02,-2.3,1.87,2.13,5,75,1
19,Razor Rocks,Wooden Roller Coaster ,1,6.37,High,7.0,High,4.26,Medium,43,12,84,1998,3.08,-1.15,1.49,0.96,2,59,0
20,Arid Heights,Wooden Roller Coaster ,0,7.8,Very High,7.85,Very High,4.77,Medium,46,17,74,2460,3.18,-1.18,1.5,6.63,10,42,0
20,Arid Heights,Looping Roller Coaster,1,6.38,High,5.98,High,3.09,Medium,44,17,61,2080,3.94,-1.27,1.54,1.2,6,59,1
20,Arid Heights,Junior Roller Coaster,1,5.69,High,6.02,High,5.46,High,44,13,99,2631,2.74,-0.59,1.86,0.63,4,59,0
20,Arid Heights,Water Coaster,0,6.12,High,5.69,High,4.21,Medium,33,9,75,1322,2.49,-0.67,1.49,1.02,5,22,0
20,Arid Heights,Twister Coaster,1,6.68,High,7.03,High,4.01,Medium,56,23,63,2815,5.54,-0.66,2.74,1.86,3,78,2
20,Arid Heights,Mini Roller Coaster,1,5.15,High,5.94,High,4.83,Medium,49,13,84,2136,3.25,-0.85,1.85,0.96,3,72,0
20,Arid Heights,Side-Friction Roller Coaster,0,5.08,Medium,5.98,High,3.39,Medium,34,11,67,1535,2.43,0.06,1.52,0.0,9,29,0
20,Arid Heights,Corkscrew Roller Coaster,1,5.93,High,7.19,High,3.52,Medium,48,13,86,2273,5.04,-1.67,1.31,1.32,6,72,1
20,Arid Heights,Hypercoaster,1,6.26,High,4.7,Medium,3.32,Medium,42,15,115,3300,2.78,-1.07,1.17,0.93,5,52,0
21,Vertigo Views,Hypercoaster,0,9.48,Very High,9.14,Very High,5.02,Medium,89,21,186,7497,5.33,-2.08,2.69,11.52,15,239,0
21,Vertigo Views,Corkscrew Roller Coaster,1,5.71,High,7.06,High,3.32,Medium,46,13,70,1814,4.72,-1.03,2.23,1.74,6,62,1
21,Vertigo Views,Looping Roller Coaster,1,6.38,High,5.49,High,2.89,Medium,44,19,53,1995,3.04,-0.86,1.62,1.62,7,42,1
21,Vertigo Views,Spiral Coaster,1,6.22,High,4.3,Medium,2.87,Medium,41,14,67,1834,2.75,-1.06,1.7,1.2,5,42,0
21,Vertigo Views,Compact Inverted Coaster,1,5.87,High,7.25,High,6.21,High,47,13,87,2241,3.93,-1.16,1.28,1.74,5,62,1
21,Vertigo Views,Reverse Freefall Coaster,0,5.19,High,7.47,High,5.37,High,69,39,12,918,3.44,0.0,0.0,2.88,1,121,0
21,Vertigo Views,Inverted Roller Coaster,0,7.21,High,8.1,Very High,6.97,High,45,16,67,2122,3.52,-1.44,2.0,2.55,7,62,3
21,Vertigo Views,Giga Coaster,1,7.7,Very High,4.85,Medium,3.68,Medium,48,16,89,2736,2.84,-1.54,1.41,2.31,7,59,0
21,Vertigo Views,Wooden Roller Coaster ,0,7.43,High,7.54,High,4.7,Medium,45,15,83,2434,3.17,-1.43,1.61,4.92,6,62,0
21,Vertigo Views,Mine Train Coaster,0,6.75,High,6.6,High,4.46,Medium,37,16,73,2267,2.71,-0.87,1.54,2.43,6,22,0
22,Crater Lake,Mini Roller Coaster,1,4.5,Medium,4.66,Medium,3.17,Medium,30,12,69,1607,2.14,0.25,0.95,0.0,5,22,0
22,Crater Lake,Inverted Hairpin Coaster,0,6.73,High,7.7,Very High,4.66,Medium,40,12,46,1132,2.96,-1.0,2.44,2.19,7,42,0
22,Crater Lake,Wooden Roller Coaster ,1,7.0,High,7.93,Very High,4.35,Medium,49,14,90,2585,4.21,-0.76,1.35,0.51,4,72,1
22,Crater Lake,Mine Train Coaster,1,2.7,Medium,2.76,Medium,2.26,Low,31,10,83,1683,2.31,-0.43,1.28,0.6,3,9,0
23,Whispering Cliffs,Junior Roller Coaster,1,5.39,High,5.78,High,4.27,Medium,46,13,73,1829,2.81,-56.0,1.98,0.63,3,62,0
23,Whispering Cliffs,Suspended Swinging Coaster,1,6.84,High,6.58,High,7.02,High,42,10,74,1515,2.64,-0.84,2.37,1.74,6,49,0
23,Whispering Cliffs,Wooden Roller Coaster ,1,6.64,High,7.26,High,4.35,Medium,36,11,70,1535,2.66,-0.96,1.57,1.02,6,39,1
23,Whispering Cliffs,Mine Train Coaster,1,6.35,High,6.24,High,4.55,Medium,35,14,76,2040,2.41,-0.49,1.46,1.29,5,32,0
23,Whispering Cliffs,Dinghy Slide,1,5.33,High,5.59,High,3.59,Medium,45,8,83,1322,3.15,-0.78,1.51,0.9,3,68,0
24,Bumbly Bazaar,Hypercoaster,1,6.7,High,5.42,High,3.41,Medium,45,14,92,2628,3.18,-1.53,1.74,2.28,5,52,0
24,Bumbly Bazaar,Mini Roller Coaster,1,4.8,Medium,5.34,High,4.01,Medium,39,12,85,2014,2.86,-0.79,1.18,1.17,4,42,0
24,Bumbly Bazaar,Hyper-Twister Roller Coaster,1,7.04,High,4.56,Medium,2.79,Medium,44,14,78,2162,2.8,-0.88,1.78,1.56,4,49,0
24,Bumbly Bazaar,Wooden Roller Coaster ,1,6.1,High,7.29,High,4.29,Medium,39,10,87,1804,2.86,-1.15,1.34,1.26,6,49,1
25,Hydro Hills,Looping Roller Coaster,1,6.59,High,5.76,High,4.05,Medium,45,14,99,2710,4.1,-0.69,1.84,0.69,5,62,1
25,Hydro Hills,Twister Coaster,1,6.66,High,6.82,High,3.72,Medium,45,15,64,1857,4.5,-1.07,2.74,0.84,6,59,3
25,Hydro Hills,Lay-down Roller Coaster,1,6.49,High,6.52,High,5.25,High,38,10,88,1693,4.0,-0.58,2.39,1.26,5,42,1
25,Hydro Hills,Compact Inverted Coaster,1,6.08,High,7.05,High,5.88,High,51,12,84,2027,3.09,-1.1,2.17,1.2,5,68,0
25,Hydro Hills,Suspended Swinging Coaster,0,7.33,High,7.05,High,7.29,High,47,16,93,2953,3.14,-1.38,2.65,2.52,6,62,0
25,Hydro Hills,Wooden Roller Coaster ,0,7.42,High,7.97,Very High,4.64,Medium,46,16,57,1840,3.23,-1.15,1.69,2.64,7,62,1
26,Paradise Pier,Compact Inverted Coaster,1,5.96,High,7.78,Very High,6.39,High,39,12,74,1814,3.68,-0.99,2.18,3.21,8,49,2
26,Paradise Pier,Looping Roller Coaster,1,6.49,High,4.59,Medium,2.52,Low,41,1,87,1945,2.58,-0.45,1.56,0.54,4,49,1
26,Paradise Pier,Mini Roller Coaster,0,6.22,High,6.17,High,4.33,Medium,45,14,71,2037,3.03,-1.06,1.94,3.09,7,62,0
26,Paradise Pier,Corkscrew Roller Coaster,1,6.46,High,6.04,High,4.14,Medium,40,14,102,2775,3.3,-0.84,1.77,0.9,7,42,1
26,Paradise Pier,Junior Roller Coaster,1,5.64,High,5.25,High,3.92,Medium,33,12,72,1660,2.38,-0.44,1.44,0.63,4,22,0
27,Swamp Cove,Inverted Roller Coaster,0,8.14,Very High,9.15,Very High,7.52,High,50,19,80,3015,4.06,-1.72,2.448,3.6,9,62,4
27,Swamp Cove,Inverted Roller Coaster,0,8.31,Very High,9.07,Very High,7.27,High,50,20,80,3156,4.08,-1.62,2.43,3.27,8,62,4
27,Swamp Cove,Mine Train Coaster,1,6.18,High,6.95,High,4.3,Medium,41,10,76,1555,2.77,-1.14,2.4,1.5,6,52,0
27,Swamp Cove,Spiral Coaster,1,6.16,High,3.89,Medium,2.27,Low,41,18,42,1473,2.67,-0.4,1.66,1.26,4,49,0
27,Swamp Cove,Corkscrew Roller Coaster,1,5.47,High,6.08,High,2.49,Low,41,12,66,1637,3.52,-0.98,2.441,1.32,44,52,1
27,Swamp Cove,Wooden Roller Coaster ,1,6.9,High,7.31,High,5.32,High,38,16,76,2339,2.65,-0.96,1.68,1.2,4,29,1
28,Roman Village,Wooden Roller Coaster ,1,7.21,High,8.34,Very High,5.11,Medium,47,14,70,1995,4.22,-1.17,1.92,1.62,5,68,1
28,Roman Village,Lay-down Roller Coaster,1,6.84,High,6.54,High,5.25,High,44,16,63,1962,3.1,-1.4,1.67,2.28,4,42,2
28,Roman Village,Looping Roller Coaster,1,6.06,High,5.88,High,2.85,Medium,45,17,61,2093,3.06,-0.87,2.53,2.07,6,42,1
29,Adrenaline Heights,Suspended Swinging Coaster,0,7.0,High,8.31,Very High,9.85,Very High,47,15,85,2460,2.85,-1.06,2.92,1.44,5,42,0
29,Adrenaline Heights,Lay-down Roller Coaster,1,7.57,High,7.82,Very High,5.93,High,59,16,76,2385,3.96,-1.41,2.42,1.2,4,101,2
29,Adrenaline Heights,Inverted Roller Coaster,1,6.49,High,7.92,Very High,6.43,High,45,14,60,1627,4.06,-1.12,2.42,1.8,6,62,2
29,Adrenaline Heights,Hypercoaster,1,6.89,High,8.6,Very High,5.22,High,60,15,93,2661,3.56,-2.11,2.97,2.43,3,101,0
29,Adrenaline Heights,Hyper-Twister Roller Coaster,1,6.93,High,7.81,Very High,4.58,Medium,57,16,57,1778,3.35,-1.68,2.84,0.93,2,98,0
29,Adrenaline Heights,Floorless Roller Coaster,1,7.19,High,9.59,Very High,5.66,High,59,15,65,1870,6.26,-2.01,2.93,1.41,4,101,1
30,Botany Breakers,Stand Up Roller Coaster,1,5.31,High,8.86,Very High,6.86,High,40,15,81,2359,4.08,-0.64,2.43,1.44,6,29,2
30,Botany Breakers,Vertical Drop Coaster,1,6.61,High,6.28,High,3.2,Medium,48,16,42,1322,3.15,-2.39,1.94,1.08,3,65,0
30,Botany Breakers,Corkscrew Roller Coaster,1,6.14,High,5.88,High,3.66,Medium,42,17,69,2270,3.19,-0.8,1.65,0.99,5,62,1
30,Botany Breakers,Spiral Coaster,1,5.39,High,5.94,High,3.79,Medium,41,13,46,1174,2.69,-0.55,2.96,0.72,3,49,0
30,Botany Breakers,Twister Coaster,1,7.66,High,6.11,High,3.81,Medium,45,18,61,2221,3.86,-1.08,2.29,2.1,6,22,2
30,Botany Breakers,Mine Train Coaster,1,7.59,High,7.6,High,5.8,Medium,52,16,90,2972,3.33,-1.36,2.17,2.43,4,82,0
30,Botany Breakers,Wooden Roller Coaster ,1,7.5,High,7.75,Very High,4.35,Medium,40,18,58,2001,3.01,-0.97,1.97,1.62,5,29,1
30,Botany Breakers,Hypercoaster,1,6.17,High,44.94,Medium,2.76,Medium,45,15,61,1791,2.69,-0.45,2.71,0.18,2,62,0
